date,England,Wales,Northern Ireland,Scotland,Variant
13/03/20,0.0,0.0,0.0,0.0,native
20/03/20,0.2,0.1,0.1,0.2,native
27/03/20,0.9,0.7,0.5,1.1,native
03/04/20,5.9,4.2,2.9,5.2,native
10/04/20,10.4,9.6,4.0,11.1,native
17/04/20,14.7,12.9,5.3,11.9,native
24/04/20,13.8,13.0,6.8,12.1,native
01/05/20,10.2,8.9,6.5,9.6,native
08/05/20,6.6,6.7,4.4,7.6,native
15/05/20,6.4,5.7,3.9,6.1,native
22/05/20,4.3,4.2,2.8,4.2,native
29/05/20,3.0,3.3,2.6,2.4,native
05/06/20,2.6,3.2,1.1,1.6,native
12/06/20,1.9,1.8,1.1,1.2,native
19/06/20,1.3,1.2,0.9,0.9,native
26/06/20,1.0,0.9,0.6,0.7,native
03/07/20,0.9,1.1,0.6,0.3,native
10/07/20,0.6,0.7,0.5,0.2,native
17/07/20,0.5,0.3,0.1,0.1,native
24/07/20,0.4,0.2,0.4,0.1,native
31/07/20,0.3,0.3,0.1,0.1,native
07/08/20,0.2,0.8,0.3,0.1,native
14/08/20,0.2,0.4,0.2,0.1,native
21/08/20,0.2,0.3,0.3,0.1,native
28/08/20,0.2,0.1,0.2,0.1,native
04/09/20,0.1,0.1,0.2,0.0,native
11/09/20,0.2,0.0,0.4,0.1,native
18/09/20,0.2,0.2,0.4,0.2,native
25/09/20,0.4,0.4,0.5,0.2,native
02/10/20,0.5,0.8,0.1,0.4,native
09/10/20,0.7,1.2,0.6,0.5,native
16/10/20,1.1,1.5,0.9,1.4,native
23/10/20,1.6,2.1,2.2,1.9,native
30/10/20,2.2,3.8,2.7,3.1,native
06/11/20,3.1,5.2,4.3,3.8,native
13/11/20,4.0,6.0,5.1,5.1,native
20/11/20,4.4,7.0,5.3,4.5,native
27/11/20,5.0,6.9,4.3,4.6,native
04/12/20,4.6,6.5,5.2,4.2,alpha
11/12/20,4.5,7.0,4.6,4.1,alpha
18/12/20,4.8,8.1,4.3,3.8,alpha
25/12/20,4.7,8.8,4.6,3.7,alpha
01/01/21,5.0,9.8,4.9,3.3,alpha
08/01/21,9.9,14.3,7.6,7.2,alpha
15/01/21,12.0,14.7,8.1,6.8,alpha
22/01/21,14.1,14.1,9.6,8.3,alpha
29/01/21,14.3,11.4,7.2,8.1,alpha
05/02/21,12.4,9.9,6.6,6.9,alpha
12/02/21,9.7,6.8,5.2,5.9,alpha
19/02/21,6.9,5.6,4.1,5.3,alpha
26/02/21,4.9,4.4,2.9,4.2,alpha
05/03/21,3.5,3.2,1.7,2.6,alpha
12/03/21,2.5,2.1,1.7,1.9,alpha
19/03/21,1.6,1.5,0.8,1.2,alpha
26/03/21,1.2,1.0,1.0,1.1,alpha
02/04/21,0.7,0.5,0.6,0.7,alpha
09/04/21,0.6,0.6,0.5,0.6,alpha
16/04/21,0.6,0.4,0.8,0.4,alpha
23/04/21,0.4,0.4,0.4,0.4,alpha
30/04/21,0.4,0.2,0.4,0.3,alpha
07/05/21,0.2,0.2,0.2,0.1,alpha
14/05/21,0.3,0.2,0.4,0.1,alpha
21/05/21,0.2,0.2,0.2,0.1,alpha
28/05/21,0.2,0.1,0.2,0.1,alpha
04/06/21,0.2,0.1,0.1,0.1,delta
11/06/21,0.1,0.0,0.1,0.1,delta
18/06/21,0.2,0.0,0.1,0.2,delta
25/06/21,0.2,0.0,0.1,0.3,delta
02/07/21,0.2,0.1,0.1,0.4,delta
09/07/21,0.3,0.1,0.2,0.6,delta
16/07/21,0.4,0.1,0.2,0.9,delta
23/07/21,0.5,0.5,0.5,1.0,delta
30/07/21,0.7,0.4,0.9,0.8,delta
06/08/21,0.9,0.7,1.6,1.0,delta
13/08/21,1.0,0.6,2.1,0.8,delta
20/08/21,1.0,0.6,2.3,0.8,delta
27/08/21,1.1,0.5,2.8,0.9,delta
03/09/21,1.1,0.8,3.4,1.1,delta
10/09/21,1.4,2.1,3.2,1.5,delta
17/09/21,1.4,2.1,3.3,2.5,delta
24/09/21,1.4,2.8,2.9,3.1,delta
01/10/21,1.3,2.0,2.5,2.6,delta
08/10/21,1.0,2.6,1.5,2.4,delta
15/10/21,1.1,2.2,2.0,2.6,delta
22/10/21,1.3,2.6,2.7,2.4,delta
29/10/21,1.4,2.6,2.6,2.5,delta
05/11/21,1.6,3.1,3.1,2.6,delta
12/11/21,1.7,2.4,3.3,2.1,delta
19/11/21,1.5,2.7,2.2,1.8,delta
26/11/21,1.3,2.4,3.4,1.8,delta
03/12/21,1.3,1.9,1.5,1.7,Omicron BA.1
10/12/21,1.3,1.7,2.1,1.6,Omicron BA.1
17/12/21,1.2,1.6,1.7,1.3,Omicron BA.1
24/12/21,1.4,1.5,1.6,1.0,Omicron BA.1
31/12/21,1.0,0.8,0.7,0.8,Omicron BA.1
07/01/22,1.5,1.9,1.5,1.3,Omicron BA.1
14/01/22,2.3,2.2,2.3,2.5,Omicron BA.1
21/01/22,2.4,3.2,2.3,2.7,Omicron BA.1
28/01/22,2.3,1.9,2.0,2.2,Omicron BA.1
04/02/22,2.1,2.4,1.6,2.2,Omicron BA.2
11/02/22,1.8,1.3,2.1,1.5,Omicron BA.2
18/02/22,1.4,1.5,1.6,1.4,Omicron BA.2
25/02/22,1.3,1.4,1.7,1.5,Omicron BA.2
04/03/22,1.1,1.5,1.8,2.0,Omicron BA.2
11/03/22,1.1,1.3,1.7,2.2,Omicron BA.2
18/03/22,1.1,0.9,1.3,2.2,Omicron BA.2
25/03/22,1.3,0.0,0.0,0.0,Omicron BA.2